"Timestamp","1.How frequently do you engage with internet banking services each month?","2.What types of devices do you commonly use to access internet banking services?
(Select all that apply)","3.Describe any security concerns you have with your current internet banking system.","4.Have you had any security training or education regarding safe practices for internet
banking?","5.What methods do you currently use to authenticate your identity with your bank
online?","6.Rate your level of trust in the current security measures provided by your internet
banking service on a scale of 1 to 10.","7.Are you familiar with the concept of behavioral biometrics?","8.What are your expectations from a security system for internet banking in terms
of privacy?","9.Have you ever abandoned a transaction because of complicated or time-consuming
security processes?","10.How willing are you to try new technologies for securing your online banking activities?"
"2025/05/13 8:01:56 PM GMT+9","Less than 5 times","Smartphone","Identity theft","No","Passwords","4-7 (Moderate)","No","Moderate expectations","No","Very willing"
"2025/05/13 8:03:39 PM GMT+9","Less than 5 times","Laptop","None","No","Passwords","1-3 (Low)","Somehow","Moderate expectations","No","Somehow willing"
"2025/05/13 9:41:07 PM GMT+9","More than 20 times","Smartphone","None","No","Passwords","4-7 (Moderate)","Yes","Very high expectations","No","Somehow willing"
"2025/05/13 10:02:03 PM GMT+9","6 to 20 times","Smartphone","None","No","Passwords;SMS OTP (One-Time Password)","4-7 (Moderate)","Somehow","Very high expectations","Yes","Very willing"
"2025/05/13 10:27:15 PM GMT+9","More than 20 times","Laptop;Smartphone","Data privacy","No","Passwords;Biometrics (Fingerprint, Facial Recognition)","4-7 (Moderate)","Somehow","Very high expectations","Yes","Very willing"
"2025/05/13 10:29:18 PM GMT+9","6 to 20 times","Smartphone","None","No","SMS OTP (One-Time Password)","8-10 (High)","No","Very high expectations","Yes","Very willing"
"2025/05/13 10:53:49 PM GMT+9","Less than 5 times","Smartphone","None","Yes","Passwords;SMS OTP (One-Time Password)","8-10 (High)","No","Moderate expectations","Yes","Very willing"
"2025/05/13 11:00:00 PM GMT+9","6 to 20 times","Smartphone","None","No","Biometrics (Fingerprint, Facial Recognition)","8-10 (High)","No","Moderate expectations","Yes","Very willing"
"2025/05/14 12:04:20 AM GMT+9","6 to 20 times","Smartphone","Fraudulent transactions","No","Passwords","4-7 (Moderate)","Somehow","Very high expectations","Yes","Very willing"
"2025/05/14 1:28:18 AM GMT+9","More than 20 times","Laptop;Smartphone","Data privacy","Yes","Passwords","4-7 (Moderate)","No","Moderate expectations","No","Very willing"
"2025/05/14 1:43:27 AM GMT+9","More than 20 times","Smartphone;Laptop","Data privacy","No","Passwords","4-7 (Moderate)","No","Moderate expectations","No","Very willing"
"2025/05/14 2:43:42 PM GMT+9","6 to 20 times","Smartphone","None","No","Passwords","4-7 (Moderate)","Somehow","Moderate expectations","No","Very willing"
"2025/05/14 5:22:38 PM GMT+9","6 to 20 times","Smartphone","Fraudulent transactions","No","Passwords","4-7 (Moderate)","Yes","Moderate expectations","No","Very willing"
"2025/05/14 5:38:58 PM GMT+9","6 to 20 times","Smartphone","Fraudulent transactions","No","Passwords","4-7 (Moderate)","No","Moderate expectations","No","Very willing"
"2025/05/14 5:47:51 PM GMT+9","Less than 5 times","Smartphone","Data privacy","No","Passwords;SMS OTP (One-Time Password)","4-7 (Moderate)","No","Moderate expectations","No","Very willing"
"2025/05/14 5:49:52 PM GMT+9","6 to 20 times","Smartphone","None","No","Passwords;Biometrics (Fingerprint, Facial Recognition);SMS OTP (One-Time Password)","4-7 (Moderate)","No","Moderate expectations","No","Very willing"
"2025/05/14 5:51:49 PM GMT+9","6 to 20 times","Smartphone","None","No","Passwords;Biometrics (Fingerprint, Facial Recognition);SMS OTP (One-Time Password)","4-7 (Moderate)","No","Moderate expectations","No","Very willing"
"2025/05/14 6:05:29 PM GMT+9","Less than 5 times","Smartphone","Data privacy","No","Passwords;SMS OTP (One-Time Password)","4-7 (Moderate)","No","Very high expectations","No","Very willing"
"2025/05/14 6:41:59 PM GMT+9","Less than 5 times","Smartphone","Fraudulent transactions","No","Passwords","4-7 (Moderate)","Yes","Moderate expectations","Yes","Very willing"
"2025/05/14 7:09:56 PM GMT+9","Less than 5 times","Smartphone","Data privacy","No","SMS OTP (One-Time Password)","4-7 (Moderate)","No","Moderate expectations","Yes","Very willing"
"2025/05/14 7:16:05 PM GMT+9","Less than 5 times","Smartphone","Data privacy","No","SMS OTP (One-Time Password)","4-7 (Moderate)","No","Very high expectations","No","Somehow willing"
"2025/05/14 7:49:02 PM GMT+9","6 to 20 times","Smartphone","Fraudulent transactions","No","Passwords","4-7 (Moderate)","No","Moderate expectations","Yes","Very willing"
"2025/05/14 8:04:55 PM GMT+9","6 to 20 times","Smartphone","Data privacy","No","Passwords;Biometrics (Fingerprint, Facial Recognition)","4-7 (Moderate)","No","Very high expectations","No","Somehow willing"
"2025/05/14 8:50:20 PM GMT+9","6 to 20 times","Laptop","Data privacy","No","Passwords","4-7 (Moderate)","No","Very high expectations","Yes","Very willing"
"2025/05/14 8:53:49 PM GMT+9","Less than 5 times","Smartphone","None","No","None","1-3 (Low)","No","No expectations","No","Very willing"
"2025/05/14 8:54:01 PM GMT+9","Less than 5 times","Smartphone","None","No","None","1-3 (Low)","No","No expectations","No","Very willing"
"2025/05/14 9:18:50 PM GMT+9","Less than 5 times","Smartphone","None","No","Passwords","4-7 (Moderate)","No","Moderate expectations","Yes","Somehow willing"
"2025/05/14 9:22:09 PM GMT+9","Less than 5 times","Laptop","Fraudulent transactions","Yes","Passwords","1-3 (Low)","Yes","Very high expectations","Yes","Very willing"
"2025/05/14 9:25:03 PM GMT+9","Less than 5 times","PC","None","No","Passwords","1-3 (Low)","Yes","Very high expectations","Yes","Very willing"
"2025/05/14 9:37:18 PM GMT+9","More than 20 times","Smartphone","Data privacy","No","Passwords","4-7 (Moderate)","No","Moderate expectations","No","Very willing"
"2025/05/14 11:21:11 PM GMT+9","6 to 20 times","Smartphone","Data privacy","No","SMS OTP (One-Time Password)","4-7 (Moderate)","Somehow","Moderate expectations","No","Very willing"
"2025/05/14 11:54:21 PM GMT+9","More than 20 times","Laptop;Smartphone","Identity theft","Yes","Passwords;Biometrics (Fingerprint, Facial Recognition);SMS OTP (One-Time Password)","8-10 (High)","Somehow","Moderate expectations","Yes","Very willing"
"2025/05/15 1:27:17 AM GMT+9","Less than 5 times","PC","None","Yes","Passwords","4-7 (Moderate)","Somehow","Very high expectations","Yes","Very willing"
"2025/05/15 6:34:16 PM GMT+9","6 to 20 times","Laptop","Fraudulent transactions","Yes","SMS OTP (One-Time Password)","4-7 (Moderate)","Somehow","Moderate expectations","Yes","Very willing"
"2025/05/15 8:52:09 PM GMT+9","6 to 20 times","Smartphone","Data privacy","Yes","Passwords","4-7 (Moderate)","No","Moderate expectations","Yes","Very willing"
"2025/05/15 11:17:12 PM GMT+9","6 to 20 times","Smartphone","Fraudulent transactions","No","Passwords","4-7 (Moderate)","No","Very high expectations","Yes","Somehow willing"
"2025/05/15 11:30:08 PM GMT+9","More than 20 times","Laptop","Fraudulent transactions","Yes","Passwords","8-10 (High)","Yes","Very high expectations","Yes","Very willing"
"2025/05/16 2:17:37 PM GMT+9","More than 20 times","PC","None","Yes","Biometrics (Fingerprint, Facial Recognition)","4-7 (Moderate)","No","Very high expectations","Yes","Very willing"
"2025/05/16 3:46:47 PM GMT+9","Less than 5 times","Smartphone","None","Yes","Passwords;SMS OTP (One-Time Password)","4-7 (Moderate)","Somehow","Moderate expectations","No","Very willing"
"2025/05/16 6:25:47 PM GMT+9","Less than 5 times","Smartphone","Identity theft","No","Passwords","1-3 (Low)","Somehow","Moderate expectations","No","Very willing"
"2025/05/16 10:25:45 PM GMT+9","More than 20 times","Laptop;Smartphone","Data privacy","No","Passwords;SMS OTP (One-Time Password)","4-7 (Moderate)","Yes","Low expectations","Yes","Very willing"
"2025/05/16 10:25:50 PM GMT+9","More than 20 times","Smartphone;Laptop","Data privacy","Yes","Passwords","4-7 (Moderate)","No","Very high expectations","Yes","Somehow willing"
"2025/05/16 10:34:30 PM GMT+9","More than 20 times","Smartphone","None","Yes","Passwords","4-7 (Moderate)","Somehow","Moderate expectations","Yes","Very willing"
"2025/05/17 12:54:53 AM GMT+9","6 to 20 times","Smartphone","Fraudulent transactions","No","Passwords;Biometrics (Fingerprint, Facial Recognition)","1-3 (Low)","No","Low expectations","Yes","Not willing"
"2025/05/17 3:01:49 AM GMT+9","More than 20 times","Smartphone","Identity theft","Yes","Passwords","1-3 (Low)","Yes","Very high expectations","Yes","Very willing"
"2025/05/17 7:35:03 PM GMT+9","More than 20 times","Smartphone","Identity theft","No","Passwords;None","4-7 (Moderate)","Somehow","Low expectations","Yes","Somehow willing"
"2025/05/17 10:10:09 PM GMT+9","6 to 20 times","Laptop","Data privacy","No","Passwords","1-3 (Low)","No","Very high expectations","Yes","Somehow willing"
"2025/05/17 10:24:17 PM GMT+9","6 to 20 times","Smartphone","Fraudulent transactions","No","Biometrics (Fingerprint, Facial Recognition)","4-7 (Moderate)","No","Moderate expectations","Yes","Somehow willing"
"2025/05/17 10:34:45 PM GMT+9","Less than 5 times","Smartphone","Fraudulent transactions","No","Passwords;Biometrics (Fingerprint, Facial Recognition)","1-3 (Low)","No","Low expectations","No","Very willing"
"2025/05/17 11:40:37 PM GMT+9","More than 20 times","Smartphone","Fraudulent transactions","Yes","Passwords","8-10 (High)","Yes","Very high expectations","Yes","Very willing"
"2025/05/18 1:07:10 AM GMT+9","More than 20 times","Smartphone","Data privacy","No","Biometrics (Fingerprint, Facial Recognition)","4-7 (Moderate)","Somehow","Very high expectations","No","Very willing"
"2025/05/18 5:25:16 PM GMT+9","More than 20 times","PC","Fraudulent transactions","No","SMS OTP (One-Time Password)","8-10 (High)","Yes","Low expectations","Yes","Very willing"
