timestamp,1.how_would_you_describe_your_experience_with_the_login_process_using_behavioral_biometrics?,2.did_you_experience_any_discomfort_or_concerns_while_the_system_was_tracking_your_behavioral_data?,3.how_does_the_system’s_response_time_during_login_and_transactions_compare_with_your_previous_experiences?,4.were_there_any_interruptions_or_issues_that_you_faced_during_the_session?,"5.on_a_scale_from_1_to_10,_how_would_you_rate_the_intrusiveness_of_the_behavioral_biometrics_system?",6.how_well_do_you_think_the_system_recognized_your_unique_patterns_compared_to_traditional_methods?,7.did_the_system_provide_real-time_feedback?,8.how_did_the_system_handle_any_errors_or_anomalies_in_your_behavior_patterns?,"9.during_the_session,_were_you_required_to_take_any_additional_steps_for_verification?",10.describe_any_difficulties_you_encountered_while_performing_typical_banking_tasks_during_the_experiment.
2025/05/14 9:04:25 PM GMT+9,Very easy,No,Much faster,No,8-10 (Highly intrusive),Somewhat better,No,Adequately,No,No difficulties
2025/05/14 9:38:08 PM GMT+9,Somewhat easy,No,Much faster,No,4-7 (Moderately intrusive),Somewhat better,Yes,Very well,Yes,Some difficulties
2025/05/14 9:44:08 PM GMT+9,Somewhat easy,Somehow,Much faster,No,4-7 (Moderately intrusive),Much better,Yes,Very well,Yes,No difficulties
2025/05/14 10:00:55 PM GMT+9,Somewhat easy,Somehow,Much faster,Yes,1-3 (Not intrusive),Much better,Yes,Very well,Yes,No difficulties
2025/05/14 10:05:44 PM GMT+9,Very easy,No,Much faster,No,4-7 (Moderately intrusive),Somewhat better,Yes,Very well,Yes,No difficulties
2025/05/14 10:08:36 PM GMT+9,Somewhat easy,Somehow,Somewhat faster,Yes,1-3 (Not intrusive),Somewhat better,No,Adequately,No,Some difficulties
2025/05/14 10:12:35 PM GMT+9,Somewhat difficult,Somehow,Much faster,Yes,1-3 (Not intrusive),Much better,Yes,Very well,Yes,No difficulties
2025/05/14 11:47:13 PM GMT+9,Somewhat easy,Yes,Somewhat faster,No,4-7 (Moderately intrusive),Somewhat better,Yes,Very well,Yes,No difficulties
2025/05/15 12:22:13 AM GMT+9,Somewhat easy,No,Much faster,No,4-7 (Moderately intrusive),Much better,Yes,Very well,No,No difficulties
2025/05/15 2:32:32 AM GMT+9,Very easy,No,About the same,No,1-3 (Not intrusive),Much better,Yes,Adequately,No,No difficulties
2025/05/15 9:36:20 PM GMT+9,Somewhat difficult,Yes,Somewhat faster,Yes,4-7 (Moderately intrusive),About the same,No,Adequately,Yes,Some difficulties
2025/05/15 10:38:43 PM GMT+9,Very easy,No,Much faster,No,8-10 (Highly intrusive),Much better,Yes,Very well,No,No difficulties
2025/05/15 11:59:05 PM GMT+9,Very difficult,No,Much faster,No,4-7 (Moderately intrusive),Somewhat better,Yes,Adequately,No,No difficulties
2025/05/16 12:06:33 AM GMT+9,Very difficult,No,Much faster,Yes,4-7 (Moderately intrusive),Much better,Yes,Very well,Yes,No difficulties
2025/05/16 7:11:07 PM GMT+9,Very difficult,Somehow,About the same,No,4-7 (Moderately intrusive),Somewhat better,Yes,Adequately,No,Some difficulties
2025/05/17 3:02:28 AM GMT+9,Very difficult,Yes,Much faster,Yes,1-3 (Not intrusive),Much better,Yes,Very well,Yes,No difficulties
2025/05/17 10:57:32 PM GMT+9,Very easy,No,Much faster,No,1-3 (Not intrusive),Much better,Yes,Did not notice any errors,No,No difficulties
